,tweet_id,sentiment,content
3,1956967789,positive,want hang friend soon
14,1956970860,positive,get news
21,1956972097,positive,"wonder I be awake 7am , write new song , plot evil secret plot muahahaha ... oh damn it , not secret anymore"
41,1956977187,positive,<3 gon na   twitter ;) cause amazing lol . come canada   perform
56,1956981427,positive,"bed ... sorta . today good , sara strep think angelina to ; share water b4 tell I , prob"
148,1957001854,positive,rip leonardo . great mini fiddler crab
164,1957005410,positive,"2 day month leave , 400 mb left onpeak download"
165,1957005696,positive,out ?   do not memo    look amazing
179,1957007268,positive,omg ur alive ! ! ! lol   2day go sooo slow   I be go insane grrr tonight
182,1957007437,positive,"california vintage ? ahahah good dress , want do nt ebay"
189,1957008434,positive,morley you ? bris ? can not hear thunder
190,1957008478,positive,"bec vs fat food    --- winner = fat food   weeknend , ill beat"
192,1957008766,positive,dream pretty pretty beach beach wake
194,1957008987,positive,da heck garage man ask you ..
198,1957010329,positive,)   umm yeah . that be probably pretty good note self eeeeeewwwwwwww
223,1957016086,positive,complete facebook quiz time morning ... especially friday morning
255,1957021321,positive,"epicentre wheelock place , 250 unit & tourist only . start today"
259,1957022799,positive,aw u can not let secret
260,1957023061,positive,"I m sorry   do not think stick out , compare look like"
273,1957028656,positive,think I be work
277,1957029634,positive,gap year go quick
286,1957031859,positive,that be awesome ! weekend can not I be move sit .   lot fun
289,1957032114,positive,tah oh no .   * hug *
379,1957053338,positive,- dude saw sf pic . look like mini excursion pretty kick ass ! do not sun tho
392,1957058130,positive,ur suppose bk tho
394,1957058436,positive,oh no !   nighty night
422,1957066701,positive,want tatt
424,1957067779,positive,"so , need lot money tomorrow"
430,1957070273,positive,nope .   sleep cuz live east coast
444,1957073668,positive,know ridiculous ! got hang   love chicago want shopping ... trip sound like fun
447,1957074101,positive,omg do nt tweet today .... * sadness *
456,1957075370,positive,sleepy ... bore right word ... work
471,1957079355,positive,"finish .... I be not .   color drawing , come"
497,1957084165,positive,tee beefin .... what u suppose leavin
531,1957090493,positive,get home work @ 9:45 finished cleaning . need eat dinner do not know want ! !   ugh ... oh well . eat
542,1957092921,positive,extremly deep
544,1957093096,positive,week till exam block
554,1957095452,positive,there be reliste fee do not complete sale ?   suck
560,1957097329,positive,too .   wonder mnet
562,1957097730,positive,stop talkin food haha fill like sum nw   hha how s day goin start
592,1957104795,positive,ca nt use blackberry today . suck
593,1957104830,positive,q : studio create ' open season ' ? google look dvd downstairs feel lazy
605,1957107599,positive,lol ca nt drink
606,1957107658,positive,"bill compton wii , can not twitter"
646,1957116742,positive,aaaaaahhhhhhhh ! ! ! ! !   soooooooo sweeeeeeet ! ! ! ! ! !   miss age ..... soooo
647,1957116748,positive,see fox !   get freeway ... hope go home
649,1957117050,positive,recap britain get talent . britain talented america
658,1957119110,positive,lettuce & spinach good cool weather .. live florida .. not luck grow
673,1957122354,positive,finally ... the internet up . server phoenix fuck
686,1957124444,positive,know enjoy watch twitter . entertain comic .   miss
701,1957128989,positive,math quiz : meow =   allergy =    meow + allergy =
718,1957132647,positive,"hey peter , thank follow . sydney pastor tweet ! ! ! shame bris pastor twitter ; we be"
721,1957133192,positive,"aku kbangun gara2 mimpi , bad dream"
727,1957134278,positive,bff rock hotel california now .   song !   stay same . what be next ? hmmm .. careless whisper
739,1957136998,positive,count minute dad be g - friend leave
742,1957137171,positive,fun ! miss guy lot
777,1957145546,positive,going die tomorrow night .
796,1957147848,positive,wish carlton game live   stupid channel 7 lol
809,1957150281,positive,dissapointment   hhaha
819,1957151886,positive,"creep ice cream social ! good time . lar real girl , sad movie"
824,1957153131,positive,"hey love acs online ,    ca nt wait buy it ! ! ! look amazing"
843,1957157433,positive,wow . hurt way bad think
868,1957162894,positive,churchill down tomorrow
872,1957163172,positive,bahh police end party @ 5 ! !   start
875,1957164444,positive,omg you have see   nothe ring ' creppy ass movie
876,1957164542,positive,mannnn .....    get iphone ! ! ! I m jealous
883,1957166454,positive,josh call big bucket ugly   wish luck audition tweet
885,1957166935,positive,perfect I be try self learn photoshop it be go
896,1957169086,positive,"ya , weather super weird here . look like gon na rain today course do not , darnitt"
908,1957171745,positive,play street fighter iv seth rape
910,1957172370,positive,fuck waste deodorant ... ai nt goin where ... ai nt havin company   let funk ya
919,1957174335,positive,ouch ! earphone shock
937,1957179157,positive,boring . wanna taekwando
938,1957179475,positive,watch leno second time tonight
971,1957188904,positive,bah do not think   be fb fan page 7500
983,1957190983,positive,"it be fucking cold north now ! like 77 df yesterday be , it be 37,4"
989,1957191924,positive,dog eye bad . fork new washing machine vet bill eh
996,1957192594,positive,clear dvr ... getting rid tomorrw
1018,1957196203,positive,"lol ik be , figure I have keep year+ needing virus software fix   sigh"
1034,1957199401,positive,bestie need
1040,1957202373,positive,08 hell yeah ! miss u nite   lol u like opinion
1059,1957206274,positive,summer glau appear dollhouse year   can not believe will not renew tscc
1070,1957207781,positive,day jay leno   que sad
1078,1957209385,positive,good morning sexy twitter how be y all do ? ? ? I be gd it be like 7:49am n wanna sleep
1080,1957210815,positive,cause change man
1101,1957216783,positive,wish   be burn tree try dress
1102,1957216827,positive,spend 2 hour play tf2 do not think I be well start
1130,1957224476,positive,"pandora hitten hard , can not real radio play great music like"
1134,1957225620,positive,motivated / determined / wannabe sexy successful young professional ! ? ? ! join bni no1
1143,1957227657,positive,eeeeeeeeeeeeee jealous sia do nt seee
1146,1957228023,positive,arrrgh . I be bored . bored . there be slouch computer day long
1155,1957229627,positive,"yea , confirm game patch ...   lol guess you will help tomorrow"
1168,1957232619,positive,unny today not ? take long decide haha . wna tan
1169,1957233257,positive,gon na watch shorty street & prison break marathon bed maybe . nobody texte
1176,1957235177,positive,"gon na dream prince charming tonight , n go normal . hope    <3"
1178,1957236446,positive,wow friend twitter
1213,1957243516,positive,oh wow   ouch
1219,1957245122,positive,wat the ! riverside
1224,1957245904,positive,"watch 7 pound , maaaannnnnnnnn"
1247,1957251669,positive,fun beach today !   delicious dinner   be house ! ! friggin love mark josh ! ! I be gon na miss
1256,1957255401,positive,sad
1291,1957265858,positive,want candy
1298,1957266491,positive,miss go ek summer & christmas vaca
1302,1957267963,positive,shoot   alive
1314,1957271702,positive,take terminator trilogy : -d need actually tv series can not find tempting
1321,1957273826,positive,die hand diagnosis murder dvd boxset pesky kid amazon will not deliver zimbabwe
1329,1957277190,positive,"oops , do not open 9 am"
1346,1957282070,positive,
1360,1957285346,positive,discover shortcome gravity . use twitpic ( integrate ) do not subtract pic url 140 character limit
1381,1957290577,positive,"nooooo ! serena darrian do not remember other , I have wait day confess love"
1386,1957291550,positive,y r u leavn ? ? ? ? stay
1387,1957291614,positive,"I be sorry ! lol have , like , actual time spend unfortunately . everything be insane"
1390,1957292590,positive,gon na ask want club hide house sit night . hehe
1393,1957293082,positive,"chip that be right ! totally forget . till august ,     great summer"
1416,1957299984,positive,awake 12:45am mum turn internet could nt watch   live chat ccrye sad
1426,1957301854,positive,- ? ? ? youtube ?
1433,1957303384,positive,twitpic ?   lol
1435,1957303620,positive,awwww internet right now ....   -drummer boi
1467,1957313297,positive,"bing ! chandler bing , new search engine microsoft   .. but bing"
1468,1957314023,positive,aw get orthodontist today
1490,1957319044,positive,aww - that be one . roo - oop
1491,1957319291,positive,actually I would prefer rum gin do not I have prefer previously
1505,1957322446,positive,cheeek hurt bad . happen
1518,1957327322,positive,flore aww do not ! guess that be do nt   ( blackberrymessenger
1521,1957328299,positive,look like ion - base mini - itx board will not ship mid - june early
1544,1957335162,positive,say   ... she will b @ home 5mins tweet u lol
1547,1957335510,positive,headache night morph hangover   it be time drive motorway ... wolverhampton ( why oh
1571,1957342606,positive,want blackberry   sidekick hella wack . night
1576,1957343450,positive,"google wave look cool . work guy , come idea year ago ."
1585,1957346454,positive,fun game ' candamir ' kid night . can not believe it be day
1592,1957347193,positive,listen nice music .. think bed nice rest I will miss russel brand be ponderland
1603,1957349765,positive,get annoyed notebook . know it be old get wrinkle it be slow
1606,1957351077,positive,@ c a s   I m mad be nt scarey
1609,1957351242,positive,expecto patronum ! ! ! ----- happen
1610,1957351445,positive,"know , pero available na yata eh . sa singapore ,"
1619,1957353800,positive,feel dizzy right
1629,1957357268,positive,u fight
1660,1957364890,positive,"think go def jam fighting game , turn crappy karaoke game . miss fight"
1673,1957367214,positive,red ? wtf happen dark blue + black stripe
1687,1957371550,positive,stupid msn wo nt sign
1689,1957372521,positive,ship . I be stuck
1704,1957376910,positive,blast mofo'e past . nt suck badly school
1716,1957379307,positive,walk work gloriously sunny day . go good weekend burn suncream   fb
1723,1957382211,positive,"wowza , second tweet entire trip leave 3 day    - blow sf tomorrow night"
1726,1957383267,positive,it ? wah . waste trip
1732,1957384135,positive,lot confusion I have work place
1737,1957386633,positive,yeah like oh oh oh yeah that be say   lol bummer
1746,1957388131,positive,"work tonight , work cheesecake eat today . pple diet .. do not quit ! it be worth"
1753,1957389794,positive,haha have father daugter bonding time ? lol anyways g2 g work msn later I will bored   x
1756,1957389904,positive,"I be genius   rug washing machine , leave fold door half open , machine move door will not close open . shake head"
1776,1957394632,positive,nightshift I be work   luckily have fun it . turn music office . yay
1816,1957403939,positive,lol know ! read cos dad chuck get home
1838,1957410345,positive,"yeah , say "" that be nice picture "" & give red x !   hope work soon"
1843,1957411109,positive,kidney stone . really ? ? ugh
1850,1957412353,positive,ur I be   lol
1858,1957413675,positive,wanna drink pub
1865,1957415150,positive,"early morning , portmeirion home"
1866,1957415182,positive,somebody actually tell that ! !   lol
1873,1957417241,positive,"ugh , frustrating . brief week group they , traditional agency"
1877,1957420885,positive,oh u mean now - tht heltershelter person lol . yer look scary
1892,1957424693,positive,"wtf ? advertising go mad , want access   camera microphone ? for ? amazon know well"
1893,1957424709,positive,hate website say ticket price website
1894,1957424853,positive,alice do not know wear cinema   <3
1899,1957426109,positive,do not think go sun today   gutte need colour
1903,1957426747,positive,wow tired . fall asleep @ exactly start 10 pm news & 8 am
1922,1957430751,positive,"omg sister get brother "" jona brother "" look - a - like trenchcoat I be like jona style tell shutup no1 like"
1928,1957432228,positive,"get ready work sun shine , plus it be w / e ! bgt tonight ..... gon na it be finish"
1952,1957439681,positive,I be go bed .... it be weird 1st time long time .. do not goodnight   ... I m a lil curious
1955,1957440197,positive,fantastic idea .. man ! I will end lonely tourist go home
1964,1957443166,positive,24 hour till show ! oh lee break guitar practice
1980,1957445998,positive,it be friday ... remind day
1985,1957447080,positive,want singapore mother
2002,1957451307,positive,owww I be ache alll
2005,1957451999,positive,yay it be friday ... hold work tomorrow
2017,1957454181,positive,umm ... why let change background ? ! I m twitter - challenge
2053,1957461171,positive,dude do not bye
2058,1957462278,positive,hand oop ! completely forget
2067,1957464145,positive,tallente man fitting wish close
2069,1957464188,positive,"constantly listen   song fly I ... b / c it be cut song ... ""peter pan & wendy turn fine"
2084,1957467582,positive,"lol yeah   haha . yeah , thing okay , pretty same . slowly sort lol . exam come d : haha"
2093,1957469739,positive,"devastate , set alarm 9.30,forgot turn 7.30 alarm get 7.30 showered think 9.30,i fool"
2115,1957474232,positive,make jealous   want one ! long u guy marry
2116,1957474409,positive,"- day metro magazine   ta - ta , dream job . ( ps : june issue now . czech"
2142,1957479921,positive,fall asleep wake gun shot be nt fun
2152,1957482102,positive,nuhhhh info ticketek   heap excite though ! do nt care hope be not
2181,1957486984,positive,want hand dirty fubumvc .   document complete
2191,1957489961,positive,can not tell thrilled nosebleed .   time age .   overjoy do not cover it .   urgh
2194,1957490410,positive,guy do not come   something ? ! def . tomorrow hang chick
2201,1957492389,positive,work ..... too email inbox
2222,1957497862,positive,oh man .. not mood   I will home tomorrow .. wanna w/ family .. its birthday
2227,1957499078,positive,smoke
2232,1957500630,positive,yay ! thank you .. feel like ur yell    lol
2240,1957501955,positive,"ok , ahhh ! chance school chemistry exam"
2248,1957503142,positive,sooo tired ca nt believe dark outside do nt day
